Country,State,State lgd code,Year,Type of area,Gender,Status of employment,Percentage distribution of workers_avg,Percentage distribution of workers_max,Percentage distribution of workers_min,Percentage distribution of workers_sum,Percentage distribution of workers_count,Percentage distribution of workers_stddev,Percentage distribution of workers_LandAreaWeight,Percentage distribution of workers_TotalPopulationWeight,Percentage distribution of workers_NumberOfHouseholdsWeight,Percentage distribution of workers_TotalPopulationMaleWeight,Percentage distribution of workers_TotalPopulationFemaleWeight
India,Punjab,3,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Regular wage/salary,24.0,24.0,24.0,24.0,1,,24.0,24.0,24.0,24.0,24.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Casual labour,0.1,0.1,0.1,0.1,1,,0.1,0.1,0.1,0.1,0.1
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Regular wage/salary,90.0,90.0,90.0,90.0,1,,90.0,90.0,90.0,90.0,90.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Female,All self employed,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Casual labour,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Regular wage/salary,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Female,Self-Employed helper in hoursehold enterprise,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Female,"Self-Employed own account worker, employer",,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Male,All self employed,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Casual labour,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Regular wage/salary,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Male,Self-Employed helper in hoursehold enterprise,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Male,"Self-Employed own account worker, employer",,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,All self employed,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Casual labour,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Regular wage/salary,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,Self-Employed helper in hoursehold enterprise,,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Rural,Persons,"Self-Employed own account worker, employer",,,,,0,,,,,,
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",Urban,Female,Casual labour,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Male,All self employed,40.0,40.0,40.0,40.0,1,,40.0,40.0,40.0,40.0,40.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Rural,Female,All self employed,83.0,83.0,83.0,83.0,1,,83.0,83.0,83.0,83.0,83.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Rural,Female,Casual labour,5.0,5.0,5.0,5.0,1,,5.0,5.0,5.0,5.0,5.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,"Self-Employed own account worker, employer",41.0,41.0,41.0,41.0,1,,41.0,41.0,41.0,41.0,41.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,All self employed,52.0,52.0,52.0,52.0,1,,52.0,52.0,52.0,52.0,52.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Regular wage/salary,49.0,49.0,49.0,49.0,1,,49.0,49.0,49.0,49.0,49.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Casual labour,7.0,7.0,7.0,7.0,1,,7.0,7.0,7.0,7.0,7.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Female,All self employed,89.5,89.5,89.5,89.5,1,,89.5,89.5,89.5,89.5,89.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Casual labour,0.6,0.6,0.6,0.6,1,,0.6,0.6,0.6,0.6,0.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Regular wage/salary,9.8,9.8,9.8,9.8,1,,9.8,9.8,9.8,9.8,9.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Self-Employed helper in hoursehold enterprise,68.5,68.5,68.5,68.5,1,,68.5,68.5,68.5,68.5,68.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Female,"Self-Employed own account worker, employer",21.0,21.0,21.0,21.0,1,,21.0,21.0,21.0,21.0,21.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Male,All self employed,53.2,53.2,53.2,53.2,1,,53.2,53.2,53.2,53.2,53.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Casual labour,22.9,22.9,22.9,22.9,1,,22.9,22.9,22.9,22.9,22.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Regular wage/salary,23.9,23.9,23.9,23.9,1,,23.9,23.9,23.9,23.9,23.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Self-Employed helper in hoursehold enterprise,10.4,10.4,10.4,10.4,1,,10.4,10.4,10.4,10.4,10.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Male,"Self-Employed own account worker, employer",42.9,42.9,42.9,42.9,1,,42.9,42.9,42.9,42.9,42.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,All self employed,63.2,63.2,63.2,63.2,1,,63.2,63.2,63.2,63.2,63.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Casual labour,16.7,16.7,16.7,16.7,1,,16.7,16.7,16.7,16.7,16.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Regular wage/salary,20.0,20.0,20.0,20.0,1,,20.0,20.0,20.0,20.0,20.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Self-Employed helper in hoursehold enterprise,26.3,26.3,26.3,26.3,1,,26.3,26.3,26.3,26.3,26.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,"Self-Employed own account worker, employer",36.9,36.9,36.9,36.9,1,,36.9,36.9,36.9,36.9,36.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,All self employed,83.2,83.2,83.2,83.2,1,,83.2,83.2,83.2,83.2,83.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Casual labour,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Regular wage/salary,15.8,15.8,15.8,15.8,1,,15.8,15.8,15.8,15.8,15.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,60.9,60.9,60.9,60.9,1,,60.9,60.9,60.9,60.9,60.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,"Self-Employed own account worker, employer",22.3,22.3,22.3,22.3,1,,22.3,22.3,22.3,22.3,22.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,All self employed,51.1,51.1,51.1,51.1,1,,51.1,51.1,51.1,51.1,51.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Casual labour,20.5,20.5,20.5,20.5,1,,20.5,20.5,20.5,20.5,20.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Regular wage/salary,28.4,28.4,28.4,28.4,1,,28.4,28.4,28.4,28.4,28.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,9.1,9.1,9.1,9.1,1,,9.1,9.1,9.1,9.1,9.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,"Self-Employed own account worker, employer",42.0,42.0,42.0,42.0,1,,42.0,42.0,42.0,42.0,42.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,All self employed,59.5,59.5,59.5,59.5,1,,59.5,59.5,59.5,59.5,59.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Casual labour,15.4,15.4,15.4,15.4,1,,15.4,15.4,15.4,15.4,15.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Regular wage/salary,25.1,25.1,25.1,25.1,1,,25.1,25.1,25.1,25.1,25.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,22.7,22.7,22.7,22.7,1,,22.7,22.7,22.7,22.7,22.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,"Self-Employed own account worker, employer",36.8,36.8,36.8,36.8,1,,36.8,36.8,36.8,36.8,36.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Female,All self employed,45.8,45.8,45.8,45.8,1,,45.8,45.8,45.8,45.8,45.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Casual labour,2.9,2.9,2.9,2.9,1,,2.9,2.9,2.9,2.9,2.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Regular wage/salary,51.3,51.3,51.3,51.3,1,,51.3,51.3,51.3,51.3,51.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Self-Employed helper in hoursehold enterprise,15.6,15.6,15.6,15.6,1,,15.6,15.6,15.6,15.6,15.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Female,"Self-Employed own account worker, employer",30.2,30.2,30.2,30.2,1,,30.2,30.2,30.2,30.2,30.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Male,All self employed,42.7,42.7,42.7,42.7,1,,42.7,42.7,42.7,42.7,42.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Casual labour,11.4,11.4,11.4,11.4,1,,11.4,11.4,11.4,11.4,11.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Regular wage/salary,45.9,45.9,45.9,45.9,1,,45.9,45.9,45.9,45.9,45.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Self-Employed helper in hoursehold enterprise,4.4,4.4,4.4,4.4,1,,4.4,4.4,4.4,4.4,4.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Male,"Self-Employed own account worker, employer",38.4,38.4,38.4,38.4,1,,38.4,38.4,38.4,38.4,38.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,All self employed,43.4,43.4,43.4,43.4,1,,43.4,43.4,43.4,43.4,43.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Casual labour,9.7,9.7,9.7,9.7,1,,9.7,9.7,9.7,9.7,9.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Regular wage/salary,47.0,47.0,47.0,47.0,1,,47.0,47.0,47.0,47.0,47.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Self-Employed helper in hoursehold enterprise,6.6,6.6,6.6,6.6,1,,6.6,6.6,6.6,6.6,6.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,"Self-Employed own account worker, employer",36.7,36.7,36.7,36.7,1,,36.7,36.7,36.7,36.7,36.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Female,All self employed,90.1,90.1,90.1,90.1,1,,90.1,90.1,90.1,90.1,90.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Casual labour,0.4,0.4,0.4,0.4,1,,0.4,0.4,0.4,0.4,0.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Regular wage/salary,9.6,9.6,9.6,9.6,1,,9.6,9.6,9.6,9.6,9.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Self-Employed helper in hoursehold enterprise,66.8,66.8,66.8,66.8,1,,66.8,66.8,66.8,66.8,66.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Female,"Self-Employed own account worker, employer",23.2,23.2,23.2,23.2,1,,23.2,23.2,23.2,23.2,23.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Male,All self employed,53.9,53.9,53.9,53.9,1,,53.9,53.9,53.9,53.9,53.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Casual labour,18.4,18.4,18.4,18.4,1,,18.4,18.4,18.4,18.4,18.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Regular wage/salary,27.7,27.7,27.7,27.7,1,,27.7,27.7,27.7,27.7,27.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Self-Employed helper in hoursehold enterprise,10.5,10.5,10.5,10.5,1,,10.5,10.5,10.5,10.5,10.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Male,"Self-Employed own account worker, employer",43.4,43.4,43.4,43.4,1,,43.4,43.4,43.4,43.4,43.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,All self employed,65.1,65.1,65.1,65.1,1,,65.1,65.1,65.1,65.1,65.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Casual labour,12.8,12.8,12.8,12.8,1,,12.8,12.8,12.8,12.8,12.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Regular wage/salary,22.1,22.1,22.1,22.1,1,,22.1,22.1,22.1,22.1,22.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Self-Employed helper in hoursehold enterprise,28.0,28.0,28.0,28.0,1,,28.0,28.0,28.0,28.0,28.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,"Self-Employed own account worker, employer",37.1,37.1,37.1,37.1,1,,37.1,37.1,37.1,37.1,37.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,All self employed,85.4,85.4,85.4,85.4,1,,85.4,85.4,85.4,85.4,85.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Casual labour,0.6,0.6,0.6,0.6,1,,0.6,0.6,0.6,0.6,0.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Regular wage/salary,14.0,14.0,14.0,14.0,1,,14.0,14.0,14.0,14.0,14.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,61.9,61.9,61.9,61.9,1,,61.9,61.9,61.9,61.9,61.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,"Self-Employed own account worker, employer",23.5,23.5,23.5,23.5,1,,23.5,23.5,23.5,23.5,23.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,All self employed,52.8,52.8,52.8,52.8,1,,52.8,52.8,52.8,52.8,52.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Casual labour,16.5,16.5,16.5,16.5,1,,16.5,16.5,16.5,16.5,16.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Regular wage/salary,30.7,30.7,30.7,30.7,1,,30.7,30.7,30.7,30.7,30.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,9.3,9.3,9.3,9.3,1,,9.3,9.3,9.3,9.3,9.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,"Self-Employed own account worker, employer",43.5,43.5,43.5,43.5,1,,43.5,43.5,43.5,43.5,43.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,All self employed,62.1,62.1,62.1,62.1,1,,62.1,62.1,62.1,62.1,62.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Casual labour,11.9,11.9,11.9,11.9,1,,11.9,11.9,11.9,11.9,11.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Regular wage/salary,25.9,25.9,25.9,25.9,1,,25.9,25.9,25.9,25.9,25.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,24.3,24.3,24.3,24.3,1,,24.3,24.3,24.3,24.3,24.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,"Self-Employed own account worker, employer",37.8,37.8,37.8,37.8,1,,37.8,37.8,37.8,37.8,37.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Female,All self employed,45.2,45.2,45.2,45.2,1,,45.2,45.2,45.2,45.2,45.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Casual labour,2.3,2.3,2.3,2.3,1,,2.3,2.3,2.3,2.3,2.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Regular wage/salary,52.5,52.5,52.5,52.5,1,,52.5,52.5,52.5,52.5,52.5
