Country,Year,Type of industry of work,Type of area,Gender,Status of employment,Percentage distribution of workers_avg,Percentage distribution of workers_max,Percentage distribution of workers_min,Percentage distribution of workers_sum,Percentage distribution of workers_count,Percentage distribution of workers_stddev,Percentage distribution of workers_LandAreaWeight,Percentage distribution of workers_TotalPopulationWeight,Percentage distribution of workers_NumberOfHouseholdsWeight,Percentage distribution of workers_TotalPopulationMaleWeight,Percentage distribution of workers_TotalPopulationFemaleWeight
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Female,All self employed,65.0,65.0,65.0,65.0,1,,65.0,65.0,65.0,65.0,65.0
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Female,Casual labour,33.8,33.8,33.8,33.8,1,,33.8,33.8,33.8,33.8,33.8
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Female,Regular wage/salary,1.2,1.2,1.2,1.2,1,,1.2,1.2,1.2,1.2,1.2
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Female,Self-Employed helper in hoursehold enterprise,48.7,48.7,48.7,48.7,1,,48.7,48.7,48.7,48.7,48.7
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Female,"Self-Employed own account worker, employer",16.3,16.3,16.3,16.3,1,,16.3,16.3,16.3,16.3,16.3
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Male,All self employed,77.2,77.2,77.2,77.2,1,,77.2,77.2,77.2,77.2,77.2
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Male,Casual labour,21.7,21.7,21.7,21.7,1,,21.7,21.7,21.7,21.7,21.7
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Male,Regular wage/salary,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Male,Self-Employed helper in hoursehold enterprise,15.9,15.9,15.9,15.9,1,,15.9,15.9,15.9,15.9,15.9
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Male,"Self-Employed own account worker, employer",61.3,61.3,61.3,61.3,1,,61.3,61.3,61.3,61.3,61.3
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Persons,All self employed,73.5,73.5,73.5,73.5,1,,73.5,73.5,73.5,73.5,73.5
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Persons,Casual labour,25.4,25.4,25.4,25.4,1,,25.4,25.4,25.4,25.4,25.4
