Country,State,State lgd code,Year,Gender,Age group,Type of area,Worker Population Ratio (WPR)_avg,Worker Population Ratio (WPR)_max,Worker Population Ratio (WPR)_min,Worker Population Ratio (WPR)_sum,Worker Population Ratio (WPR)_count,Worker Population Ratio (WPR)_stddev,Worker Population Ratio (WPR)_LandAreaWeight,Worker Population Ratio (WPR)_TotalPopulationWeight,Worker Population Ratio (WPR)_NumberOfHouseholdsWeight,Worker Population Ratio (WPR)_TotalPopulationMaleWeight,Worker Population Ratio (WPR)_TotalPopulationFemaleWeight
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,all years,Total,21.0,21.0,21.0,21.0,1,,,21.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,all years,Rural,22.9,22.9,22.9,22.9,1,,,22.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,15-29,Rural,21.1,21.1,21.1,21.1,1,,,21.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,15-29,Total,19.8,19.8,19.8,19.8,1,,,19.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,15-29,Urban,15.2,15.2,15.2,15.2,1,,,15.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,15-59,Rural,32.2,32.2,32.2,32.2,1,,,32.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,15-59,Total,29.3,29.3,29.3,29.3,1,,,29.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,15-59,Urban,19.3,19.3,19.3,19.3,1,,,19.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,15 years and above,Rural,30.5,30.5,30.5,30.5,1,,,30.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,15 years and above,Total,27.6,27.6,27.6,27.6,1,,,27.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,15 years and above,Urban,17.7,17.7,17.7,17.7,1,,,17.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Female,all years,Urban,13.9,13.9,13.9,13.9,1,,,13.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,15-29,Rural,47.8,47.8,47.8,47.8,1,,,47.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,15-29,Total,47.3,47.3,47.3,47.3,1,,,47.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,15-29,Urban,45.3,45.3,45.3,45.3,1,,,45.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,15-59,Rural,75.2,75.2,75.2,75.2,1,,,75.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,15-59,Total,74.9,74.9,74.9,74.9,1,,,74.9,,,
