Country,State,State lgd code,Year,Gender,Age group,Type of area,Labour Force Participation Rate (LFPR)_avg,Labour Force Participation Rate (LFPR)_max,Labour Force Participation Rate (LFPR)_min,Labour Force Participation Rate (LFPR)_sum,Labour Force Participation Rate (LFPR)_count,Labour Force Participation Rate (LFPR)_stddev,Labour Force Participation Rate (LFPR)_LandAreaWeight,Labour Force Participation Rate (LFPR)_TotalPopulationWeight,Labour Force Participation Rate (LFPR)_NumberOfHouseholdsWeight,Labour Force Participation Rate (LFPR)_TotalPopulationMaleWeight,Labour Force Participation Rate (LFPR)_TotalPopulationFemaleWeight
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2023",male,15-59,rural,,,,,0,,,,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,15-29,rural,24.9,24.9,24.9,24.9,1,,,24.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,15-29,rural + urban,24.9,24.9,24.9,24.9,1,,,24.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,15-29,urban,24.7,24.7,24.7,24.7,1,,,24.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,15-59,rural,34.2,34.2,34.2,34.2,1,,,34.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,15-59,rural + urban,32.2,32.2,32.2,32.2,1,,,32.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,15-59,urban,25.4,25.4,25.4,25.4,1,,,25.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,15 years and above,rural,32.3,32.3,32.3,32.3,1,,,32.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,15 years and above,rural + urban,30.2,30.2,30.2,30.2,1,,,30.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,15 years and above,urban,22.9,22.9,22.9,22.9,1,,,22.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,All Ages,rural,24.2,24.2,24.2,24.2,1,,,24.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,All Ages,rural + urban,22.9,22.9,22.9,22.9,1,,,22.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",female,All Ages,urban,18.0,18.0,18.0,18.0,1,,,18.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,15-29,rural,54.1,54.1,54.1,54.1,1,,,54.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,15-29,rural + urban,54.4,54.4,54.4,54.4,1,,,54.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,15-29,urban,55.6,55.6,55.6,55.6,1,,,55.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,15-59,rural,78.4,78.4,78.4,78.4,1,,,78.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,15-59,rural + urban,78.6,78.6,78.6,78.6,1,,,78.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,15-59,urban,79.3,79.3,79.3,79.3,1,,,79.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,15 years and above,rural,76.7,76.7,76.7,76.7,1,,,76.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,15 years and above,rural + urban,75.9,75.9,75.9,75.9,1,,,75.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,15 years and above,urban,73.2,73.2,73.2,73.2,1,,,73.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,All Ages,rural,57.5,57.5,57.5,57.5,1,,,57.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,All Ages,rural + urban,57.4,57.4,57.4,57.4,1,,,57.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",male,All Ages,urban,56.6,56.6,56.6,56.6,1,,,56.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,15-29,rural,40.8,40.8,40.8,40.8,1,,40.8,40.8,40.8,40.8,40.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,15-29,rural + urban,40.8,40.8,40.8,40.8,1,,40.8,40.8,40.8,40.8,40.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,15-29,urban,40.9,40.9,40.9,40.9,1,,40.9,40.9,40.9,40.9,40.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,15-59,rural,57.2,57.2,57.2,57.2,1,,57.2,57.2,57.2,57.2,57.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,15-59,rural + urban,56.2,56.2,56.2,56.2,1,,56.2,56.2,56.2,56.2,56.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,15-59,urban,52.6,52.6,52.6,52.6,1,,52.6,52.6,52.6,52.6,52.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,15 years and above,rural,55.5,55.5,55.5,55.5,1,,55.5,55.5,55.5,55.5,55.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,15 years and above,rural + urban,53.9,53.9,53.9,53.9,1,,53.9,53.9,53.9,53.9,53.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,15 years and above,urban,48.4,48.4,48.4,48.4,1,,48.4,48.4,48.4,48.4,48.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,All Ages,rural,41.6,41.6,41.6,41.6,1,,41.6,41.6,41.6,41.6,41.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,All Ages,rural + urban,40.8,40.8,40.8,40.8,1,,40.8,40.8,40.8,40.8,40.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",person,All Ages,urban,37.8,37.8,37.8,37.8,1,,37.8,37.8,37.8,37.8,37.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,15-29,rural,30.5,30.5,30.5,30.5,1,,,30.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,15-29,rural + urban,29.1,29.1,29.1,29.1,1,,,29.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,15-29,urban,24.0,24.0,24.0,24.0,1,,,24.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,15-59,rural,39.8,39.8,39.8,39.8,1,,,39.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,15-59,rural + urban,36.3,36.3,36.3,36.3,1,,,36.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,15-59,urban,23.3,23.3,23.3,23.3,1,,,23.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,15 years and above,rural,37.6,37.6,37.6,37.6,1,,,37.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,15 years and above,rural + urban,33.8,33.8,33.8,33.8,1,,,33.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,15 years and above,urban,20.5,20.5,20.5,20.5,1,,,20.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,All Ages,rural,29.3,29.3,29.3,29.3,1,,,29.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,All Ages,rural + urban,26.5,26.5,26.5,26.5,1,,,26.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",female,All Ages,urban,16.2,16.2,16.2,16.2,1,,,16.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,15-29,rural,58.3,58.3,58.3,58.3,1,,,58.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,15-29,rural + urban,56.9,56.9,56.9,56.9,1,,,56.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,15-29,urban,51.4,51.4,51.4,51.4,1,,,51.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,15-59,rural,80.4,80.4,80.4,80.4,1,,,80.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,15-59,rural + urban,80.0,80.0,80.0,80.0,1,,,80.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,15-59,urban,78.7,78.7,78.7,78.7,1,,,78.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,15 years and above,rural,78.0,78.0,78.0,78.0,1,,,78.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,15 years and above,rural + urban,76.6,76.6,76.6,76.6,1,,,76.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,15 years and above,urban,71.9,71.9,71.9,71.9,1,,,71.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,All Ages,rural,58.5,58.5,58.5,58.5,1,,,58.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,All Ages,rural + urban,58.0,58.0,58.0,58.0,1,,,58.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",male,All Ages,urban,56.2,56.2,56.2,56.2,1,,,56.2,,,
