Country,State,State LGD code,Year,Revenue Deficit_avg,Revenue Deficit_max,Revenue Deficit_min,Revenue Deficit_sum,Revenue Deficit_count,Revenue Deficit_stddev,Revenue Deficit_LandAreaWeight,Revenue Deficit_TotalPopulationWeight,Revenue Deficit_NumberOfHouseholdsWeight,Revenue Deficit_TotalPopulationMaleWeight,Revenue Deficit_TotalPopulationFemaleWeight,Pension expenditure_avg,Pension expenditure_max,Pension expenditure_min,Pension expenditure_sum,Pension expenditure_count,Pension expenditure_stddev,Pension expenditure_LandAreaWeight,Pension expenditure_TotalPopulationWeight,Pension expenditure_NumberOfHouseholdsWeight,Pension expenditure_TotalPopulationMaleWeight,Pension expenditure_TotalPopulationFemaleWeight,Primary Deficit_avg,Primary Deficit_max,Primary Deficit_min,Primary Deficit_sum,Primary Deficit_count,Primary Deficit_stddev,Primary Deficit_LandAreaWeight,Primary Deficit_TotalPopulationWeight,Primary Deficit_NumberOfHouseholdsWeight,Primary Deficit_TotalPopulationMaleWeight,Primary Deficit_TotalPopulationFemaleWeight,Gross Fiscal Deficit_avg,Gross Fiscal Deficit_max,Gross Fiscal Deficit_min,Gross Fiscal Deficit_sum,Gross Fiscal Deficit_count,Gross Fiscal Deficit_stddev,Gross Fiscal Deficit_LandAreaWeight,Gross Fiscal Deficit_TotalPopulationWeight,Gross Fiscal Deficit_NumberOfHouseholdsWeight,Gross Fiscal Deficit_TotalPopulationMaleWeight,Gross Fiscal Deficit_TotalPopulationFemaleWeight,Capital outlay_avg,Capital outlay_max,Capital outlay_min,Capital outlay_sum,Capital outlay_count,Capital outlay_stddev,Capital outlay_LandAreaWeight,Capital outlay_TotalPopulationWeight,Capital outlay_NumberOfHouseholdsWeight,Capital outlay_TotalPopulationMaleWeight,Capital outlay_TotalPopulationFemaleWeight,Social sector expenditure_avg,Social sector expenditure_max,Social sector expenditure_min,Social sector expenditure_sum,Social sector expenditure_count,Social sector expenditure_stddev,Social sector expenditure_LandAreaWeight,Social sector expenditure_TotalPopulationWeight,Social sector expenditure_NumberOfHouseholdsWeight,Social sector expenditure_TotalPopulationMaleWeight,Social sector expenditure_TotalPopulationFemaleWeight,Own tax revenue_avg,Own tax revenue_max,Own tax revenue_min,Own tax revenue_sum,Own tax revenue_count,Own tax revenue_stddev,Own tax revenue_LandAreaWeight,Own tax revenue_TotalPopulationWeight,Own tax revenue_NumberOfHouseholdsWeight,Own tax revenue_TotalPopulationMaleWeight,Own tax revenue_TotalPopulationFemaleWeight,Own non-tax revenue_avg,Own non-tax revenue_max,Own non-tax revenue_min,Own non-tax revenue_sum,Own non-tax revenue_count,Own non-tax revenue_stddev,Own non-tax revenue_LandAreaWeight,Own non-tax revenue_TotalPopulationWeight,Own non-tax revenue_NumberOfHouseholdsWeight,Own non-tax revenue_TotalPopulationMaleWeight,Own non-tax revenue_TotalPopulationFemaleWeight,Interest payments_avg,Interest payments_max,Interest payments_min,Interest payments_sum,Interest payments_count,Interest payments_stddev,Interest payments_LandAreaWeight,Interest payments_TotalPopulationWeight,Interest payments_NumberOfHouseholdsWeight,Interest payments_TotalPopulationMaleWeight,Interest payments_TotalPopulationFemaleWeight,Capital expenditure_avg,Capital expenditure_max,Capital expenditure_min,Capital expenditure_sum,Capital expenditure_count,Capital expenditure_stddev,Capital expenditure_LandAreaWeight,Capital expenditure_TotalPopulationWeight,Capital expenditure_NumberOfHouseholdsWeight,Capital expenditure_TotalPopulationMaleWeight,Capital expenditure_TotalPopulationFemaleWeight
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2011",-2056.0274623799,-2056.0274623799,-2056.0274623799,-2056.0274623799,1,,-2056.027,-2056.027,-2056.027,-2056.027,-2056.027,3223.913661277,3223.913661277,3223.913661277,3223.913661277,1,,3223.914,3223.914,3223.914,3223.914,3223.914,1281.3491796944,1281.3491796944,1281.3491796944,1281.3491796944,1,,1281.349,1281.349,1281.349,1281.349,1281.349,3612.2309317645,3612.2309317645,3612.2309317645,3612.2309317645,1,,3612.231,3612.231,3612.231,3612.231,3612.231,5769.9838252041,5769.9838252041,5769.9838252041,5769.9838252041,1,,5769.984,5769.984,5769.984,5769.984,5769.984,8546.8924673052,8546.8924673052,8546.8924673052,8546.8924673052,1,,8546.892,8546.892,8546.892,8546.892,8546.892,4641.2227920993,4641.2227920993,4641.2227920993,4641.2227920993,1,,4641.223,4641.223,4641.223,4641.223,4641.223,1958.2145478994,1958.2145478994,1958.2145478994,1958.2145478994,1,,1958.215,1958.215,1958.215,1958.215,1958.215,2330.8817520701,2330.8817520701,2330.8817520701,2330.8817520701,1,,2330.882,2330.882,2330.882,2330.882,2330.882,7019.05474312,7019.05474312,7019.05474312,7019.05474312,1,,7019.055,7019.055,7019.055,7019.055,7019.055
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2012",-1075.9420592854,-1075.9420592854,-1075.9420592854,-1075.9420592854,1,,-1075.942,-1075.942,-1075.942,-1075.942,-1075.942,3387.2612284594,3387.2612284594,3387.2612284594,3387.2612284594,1,,3387.261,3387.261,3387.261,3387.261,3387.261,1475.9968795106,1475.9968795106,1475.9968795106,1475.9968795106,1,,1475.997,1475.997,1475.997,1475.997,1475.997,4123.7924744975,4123.7924744975,4123.7924744975,4123.7924744975,1,,4123.792,4123.792,4123.792,4123.792,4123.792,5109.7466524608,5109.7466524608,5109.7466524608,5109.7466524608,1,,5109.747,5109.747,5109.747,5109.747,5109.747,8917.6034131863,8917.6034131863,8917.6034131863,8917.6034131863,1,,8917.603,8917.603,8917.603,8917.603,8917.603,5704.4491725022,5704.4491725022,5704.4491725022,5704.4491725022,1,,5704.449,5704.449,5704.449,5704.449,5704.449,2112.7589527786,2112.7589527786,2112.7589527786,2112.7589527786,1,,2112.759,2112.759,2112.759,2112.759,2112.759,2647.7955949869,2647.7955949869,2647.7955949869,2647.7955949869,1,,2647.796,2647.796,2647.796,2647.796,2647.796,6515.3182335454,6515.3182335454,6515.3182335454,6515.3182335454,1,,6515.318,6515.318,6515.318,6515.318,6515.318
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2013",-68.4690401363,-68.4690401363,-68.4690401363,-68.4690401363,1,,-68.469,-68.469,-68.469,-68.469,-68.469,3513.4398881392,3513.4398881392,3513.4398881392,3513.4398881392,1,,3513.44,3513.44,3513.44,3513.44,3513.44,1519.034561882,1519.034561882,1519.034561882,1519.034561882,1,,1519.035,1519.035,1519.035,1519.035,1519.035,4454.4001254415,4454.4001254415,4454.4001254415,4454.4001254415,1,,4454.4,4454.4,4454.4,4454.4,4454.4,4408.4280556357,4408.4280556357,4408.4280556357,4408.4280556357,1,,4408.428,4408.428,4408.428,4408.428,4408.428,9595.4469105361,9595.4469105361,9595.4469105361,9595.4469105361,1,,9595.447,9595.447,9595.447,9595.447,9595.447,6135.8041253611,6135.8041253611,6135.8041253611,6135.8041253611,1,,6135.804,6135.804,6135.804,6135.804,6135.804,2807.2306455901,2807.2306455901,2807.2306455901,2807.2306455901,1,,2807.231,2807.231,2807.231,2807.231,2807.231,2935.3655635595,2935.3655635595,2935.3655635595,2935.3655635595,1,,2935.366,2935.366,2935.366,2935.366,2935.366,5795.415182969,5795.415182969,5795.415182969,5795.415182969,1,,5795.415,5795.415,5795.415,5795.415,5795.415
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2014",381.4703664739,381.4703664739,381.4703664739,381.4703664739,1,,381.47,381.47,381.47,381.47,381.47,3605.3840277509,3605.3840277509,3605.3840277509,3605.3840277509,1,,3605.384,3605.384,3605.384,3605.384,3605.384,2030.596104615,2030.596104615,2030.596104615,2030.596104615,1,,2030.596,2030.596,2030.596,2030.596,2030.596,5486.3263732107,5486.3263732107,5486.3263732107,5486.3263732107,1,,5486.326,5486.326,5486.326,5486.326,5486.326,5021.7150294284,5021.7150294284,5021.7150294284,5021.7150294284,1,,5021.715,5021.715,5021.715,5021.715,5021.715,11304.2385265102,11304.2385265102,11304.2385265102,11304.2385265102,1,,11304.239,11304.239,11304.239,11304.239,11304.239,6195.4700031942,6195.4700031942,6195.4700031942,6195.4700031942,1,,6195.47,6195.47,6195.47,6195.47,6195.47,1934.7394484241,1934.7394484241,1934.7394484241,1934.7394484241,1,,1934.739,1934.739,1934.739,1934.739,1934.739,3455.7302685957,3455.7302685957,3455.7302685957,3455.7302685957,1,,3455.73,3455.73,3455.73,3455.73,3455.73,6403.8115110377,6403.8115110377,6403.8115110377,6403.8115110377,1,,6403.812,6403.812,6403.812,6403.812,6403.812
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2015",626.0026526751,626.0026526751,626.0026526751,626.0026526751,1,,626.003,626.003,626.003,626.003,626.003,3698.3062965073,3698.3062965073,3698.3062965073,3698.3062965073,1,,3698.306,3698.306,3698.306,3698.306,3698.306,4246.0586175981,4246.0586175981,4246.0586175981,4246.0586175981,1,,4246.059,4246.059,4246.059,4246.059,4246.059,7883.7209071275,7883.7209071275,7883.7209071275,7883.7209071275,1,,7883.721,7883.721,7883.721,7883.721,7883.721,7170.6647605647,7170.6647605647,7170.6647605647,7170.6647605647,1,,7170.665,7170.665,7170.665,7170.665,7170.665,15377.1682854779,15377.1682854779,15377.1682854779,15377.1682854779,1,,15377.168,15377.168,15377.168,15377.168,15377.168,7165.7741148407,7165.7741148407,7165.7741148407,7165.7741148407,1,,7165.774,7165.774,7165.774,7165.774,7165.774,3827.4193436216,3827.4193436216,3827.4193436216,3827.4193436216,1,,3827.419,3827.419,3827.419,3827.419,3827.419,3637.6622895294,3637.6622895294,3637.6622895294,3637.6622895294,1,,3637.662,3637.662,3637.662,3637.662,3637.662,8825.6592735746,8825.6592735746,8825.6592735746,8825.6592735746,1,,8825.659,8825.659,8825.659,8825.659,8825.659
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2016",-2118.6277276474,-2118.6277276474,-2118.6277276474,-2118.6277276474,1,,-2118.628,-2118.628,-2118.628,-2118.628,-2118.628,4124.7706036423,4124.7706036423,4124.7706036423,4124.7706036423,1,,4124.771,4124.771,4124.771,4124.771,4124.771,1573.8097939911,1573.8097939911,1573.8097939911,1573.8097939911,1,,1573.81,1573.81,1573.81,1573.81,1573.81,6040.9255983151,6040.9255983151,6040.9255983151,6040.9255983151,1,,6040.926,6040.926,6040.926,6040.926,6040.926,8104.7780938534,8104.7780938534,8104.7780938534,8104.7780938534,1,,8104.778,8104.778,8104.778,8104.778,8104.778,15669.6288997745,15669.6288997745,15669.6288997745,15669.6288997745,1,,15669.629,15669.629,15669.629,15669.629,15669.629,7647.9917832295,7647.9917832295,7647.9917832295,7647.9917832295,1,,7647.992,7647.992,7647.992,7647.992,7647.992,3982.9418776456,3982.9418776456,3982.9418776456,3982.9418776456,1,,3982.942,3982.942,3982.942,3982.942,3982.942,4467.115804324,4467.115804324,4467.115804324,4467.115804324,1,,4467.116,4467.116,4467.116,4467.116,4467.116,10198.9525928807,10198.9525928807,10198.9525928807,10198.9525928807,1,,10198.953,10198.953,10198.953,10198.953,10198.953
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017",-7428.8908547932,-7428.8908547932,-7428.8908547932,-7428.8908547932,1,,-7428.891,-7428.891,-7428.891,-7428.891,-7428.891,5289.7224151049,5289.7224151049,5289.7224151049,5289.7224151049,1,,5289.722,5289.722,5289.722,5289.722,5289.722,-1843.7734379572,-1843.7734379572,-1843.7734379572,-1843.7734379572,1,,-1843.773,-1843.773,-1843.773,-1843.773,-1843.773,2717.242764268,2717.242764268,2717.242764268,2717.242764268,1,,2717.243,2717.243,2717.243,2717.243,2717.243,10126.5710361651,10126.5710361651,10126.5710361651,10126.5710361651,1,,10126.571,10126.571,10126.571,10126.571,10126.571,18172.6613813303,18172.6613813303,18172.6613813303,18172.6613813303,1,,18172.661,18172.661,18172.661,18172.661,18172.661,10560.8603764585,10560.8603764585,10560.8603764585,10560.8603764585,1,,10560.86,10560.86,10560.86,10560.86,10560.86,4266.599329639,4266.599329639,4266.599329639,4266.599329639,1,,4266.599,4266.599,4266.599,4266.599,4266.599,4561.0162022253,4561.0162022253,4561.0162022253,4561.0162022253,1,,4561.016,4561.016,4561.016,4561.016,4561.016,13363.2003763246,13363.2003763246,13363.2003763246,13363.2003763246,1,,13363.2,13363.2,13363.2,13363.2,13363.2
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018",4752.729514607,4752.729514607,4752.729514607,4752.729514607,1,,4752.73,4752.73,4752.73,4752.73,4752.73,7354.5530397881,7354.5530397881,7354.5530397881,7354.5530397881,1,,7354.553,7354.553,7354.553,7354.553,7354.553,7824.0550292944,7824.0550292944,7824.0550292944,7824.0550292944,1,,7824.055,7824.055,7824.055,7824.055,7824.055,12919.1297445831,12919.1297445831,12919.1297445831,12919.1297445831,1,,12919.13,12919.13,12919.13,12919.13,12919.13,8229.9786243884,8229.9786243884,8229.9786243884,8229.9786243884,1,,8229.979,8229.979,8229.979,8229.979,8229.979,23052.5476847619,23052.5476847619,23052.5476847619,23052.5476847619,1,,23052.548,23052.548,23052.548,23052.548,23052.548,9883.0168791087,9883.0168791087,9883.0168791087,9883.0168791087,1,,9883.017,9883.017,9883.017,9883.017,9883.017,4253.8836507565,4253.8836507565,4253.8836507565,4253.8836507565,1,,4253.884,4253.884,4253.884,4253.884,4253.884,5095.0747152887,5095.0747152887,5095.0747152887,5095.0747152887,1,,5095.075,5095.075,5095.075,5095.075,5095.075,10812.2395666734,10812.2395666734,10812.2395666734,10812.2395666734,1,,10812.24,10812.24,10812.24,10812.24,10812.24
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2019",-7392.7000764354,-7392.7000764354,-7392.7000764354,-7392.7000764354,1,,-7392.7,-7392.7,-7392.7,-7392.7,-7392.7,6741.2660659954,6741.2660659954,6741.2660659954,6741.2660659954,1,,6741.266,6741.266,6741.266,6741.266,6741.266,8463.7514899968,8463.7514899968,8463.7514899968,8463.7514899968,1,,8463.751,8463.751,8463.751,8463.751,8463.751,11929.2630500406,11929.2630500406,11929.2630500406,11929.2630500406,1,,11929.263,11929.263,11929.263,11929.263,11929.263,19230.0189868644,19230.0189868644,19230.0189868644,19230.0189868644,1,,19230.019,19230.019,19230.019,19230.019,19230.019,30093.1212690676,30093.1212690676,30093.1212690676,30093.1212690676,1,,30093.121,30093.121,30093.121,30093.121,30093.121,12931.8454234656,12931.8454234656,12931.8454234656,12931.8454234656,1,,12931.845,12931.845,12931.845,12931.845,12931.845,4370.2810189883,4370.2810189883,4370.2810189883,4370.2810189883,1,,4370.281,4370.281,4370.281,4370.281,4370.281,3465.5115600438,3465.5115600438,3465.5115600438,3465.5115600438,1,,3465.512,3465.512,3465.512,3465.512,3465.512,21332.0185190501,21332.0185190501,21332.0185190501,21332.0185190501,1,,21332.019,21332.019,21332.019,21332.019,21332.019
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2020",-23902.5419115974,-23902.5419115974,-23902.5419115974,-23902.5419115974,1,,-23902.542,-23902.542,-23902.542,-23902.542,-23902.542,6890.9198251505,6890.9198251505,6890.9198251505,6890.9198251505,1,,6890.92,6890.92,6890.92,6890.92,6890.92,3112.4069387692,3112.4069387692,3112.4069387692,3112.4069387692,1,,3112.407,3112.407,3112.407,3112.407,3112.407,9852.6948756198,9852.6948756198,9852.6948756198,9852.6948756198,1,,9852.695,9852.695,9852.695,9852.695,9852.695,33655.4676144471,33655.4676144471,33655.4676144471,33655.4676144471,1,,33655.468,33655.468,33655.468,33655.468,33655.468,38120.6271604814,38120.6271604814,38120.6271604814,38120.6271604814,1,,38120.627,38120.627,38120.627,38120.627,38120.627,13464.9258073843,13464.9258073843,13464.9258073843,13464.9258073843,1,,13464.926,13464.926,13464.926,13464.926,13464.926,3976.0949736319,3976.0949736319,3976.0949736319,3976.0949736319,1,,3976.095,3976.095,3976.095,3976.095,3976.095,6740.2879368506,6740.2879368506,6740.2879368506,6740.2879368506,1,,6740.288,6740.288,6740.288,6740.288,6740.288,37916.1981692172,37916.1981692172,37916.1981692172,37916.1981692172,1,,37916.198,37916.198,37916.198,37916.198,37916.198
