Country,State,State lgd code,Year,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration_avg,Payer eligible for gst ( goods and service tax ) registration_max,Payer eligible for gst ( goods and service tax ) registration_min,Payer eligible for gst ( goods and service tax ) registration_sum,Payer eligible for gst ( goods and service tax ) registration_count,Payer eligible for gst ( goods and service tax ) registration_stddev,Payer eligible for gst ( goods and service tax ) registration_LandAreaWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationWeight,Payer eligible for gst ( goods and service tax ) registration_NumberOfHouseholdsWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationMaleWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationFemaleWeight,Gst ( goods and service tax ) payers registered before due date_avg,Gst ( goods and service tax ) payers registered before due date_max,Gst ( goods and service tax ) payers registered before due date_min,Gst ( goods and service tax ) payers registered before due date_sum,Gst ( goods and service tax ) payers registered before due date_count,Gst ( goods and service tax ) payers registered before due date_stddev,Gst ( goods and service tax ) payers registered before due date_LandAreaWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationWeight,Gst ( goods and service tax ) payers registered before due date_NumberOfHouseholdsWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationMaleWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationFemaleWeight,Gst ( goods and service tax ) payers registered after due date_avg,Gst ( goods and service tax ) payers registered after due date_max,Gst ( goods and service tax ) payers registered after due date_min,Gst ( goods and service tax ) payers registered after due date_sum,Gst ( goods and service tax ) payers registered after due date_count,Gst ( goods and service tax ) payers registered after due date_stddev,Gst ( goods and service tax ) payers registered after due date_LandAreaWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationWeight,Gst ( goods and service tax ) payers registered after due date_NumberOfHouseholdsWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationMaleWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationFemaleWeight
India,Chandigarh,4,"Financial Year (Apr - Mar), 2020","February, 2021",GSTR-3,12710.0,12710,12710,12710,1,,12710.0,12710.0,12710.0,12710.0,12710.0,9080.0,9080,9080,9080,1,,9080.0,9080.0,9080.0,9080.0,9080.0,3628.0,3628,3628,3628,1,,3628.0,3628.0,3628.0,3628.0,3628.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","December, 2019",GSTR-1,7450.0,7450,7450,7450,1,,7450.0,7450.0,7450.0,7450.0,7450.0,3061.0,3061,3061,3061,1,,3061.0,3061.0,3061.0,3061.0,3061.0,2995.0,2995,2995,2995,1,,2995.0,2995.0,2995.0,2995.0,2995.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","December, 2019",GSTR-3,7450.0,7450,7450,7450,1,,7450.0,7450.0,7450.0,7450.0,7450.0,3717.0,3717,3717,3717,1,,3717.0,3717.0,3717.0,3717.0,3717.0,2769.0,2769,2769,2769,1,,2769.0,2769.0,2769.0,2769.0,2769.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","January, 2020",GSTR-1,3908.0,3908,3908,3908,1,,3908.0,3908.0,3908.0,3908.0,3908.0,1156.0,1156,1156,1156,1,,1156.0,1156.0,1156.0,1156.0,1156.0,1605.0,1605,1605,1605,1,,1605.0,1605.0,1605.0,1605.0,1605.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","July, 2017",GSTR-1,52455.0,52455,52455,52455,1,,52455.0,52455.0,52455.0,52455.0,52455.0,38766.0,38766,38766,38766,1,,38766.0,38766.0,38766.0,38766.0,38766.0,7205.0,7205,7205,7205,1,,7205.0,7205.0,7205.0,7205.0,7205.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","July, 2017",GSTR-3,52455.0,52455,52455,52455,1,,52455.0,52455.0,52455.0,52455.0,52455.0,26501.0,26501,26501,26501,1,,26501.0,26501.0,26501.0,26501.0,26501.0,22932.0,22932,22932,22932,1,,22932.0,22932.0,22932.0,22932.0,22932.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","August, 2017",GSTR-1,23864.0,23864,23864,23864,1,,23864.0,23864.0,23864.0,23864.0,23864.0,17338.0,17338,17338,17338,1,,17338.0,17338.0,17338.0,17338.0,17338.0,2199.0,2199,2199,2199,1,,2199.0,2199.0,2199.0,2199.0,2199.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","August, 2017",GSTR-3,58371.0,58371,58371,58371,1,,58371.0,58371.0,58371.0,58371.0,58371.0,20534.0,20534,20534,20534,1,,20534.0,20534.0,20534.0,20534.0,20534.0,35115.0,35115,35115,35115,1,,35115.0,35115.0,35115.0,35115.0,35115.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","September, 2017",GSTR-1,62528.0,62528,62528,62528,1,,62528.0,62528.0,62528.0,62528.0,62528.0,44930.0,44930,44930,44930,1,,44930.0,44930.0,44930.0,44930.0,44930.0,10753.0,10753,10753,10753,1,,10753.0,10753.0,10753.0,10753.0,10753.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","September, 2017",GSTR-3,62528.0,62528,62528,62528,1,,62528.0,62528.0,62528.0,62528.0,62528.0,28171.0,28171,28171,28171,1,,28171.0,28171.0,28171.0,28171.0,28171.0,31411.0,31411,31411,31411,1,,31411.0,31411.0,31411.0,31411.0,31411.0
