Country,State,State LGD Code,Year,Month,Settlement of Integrated goods and services tax ( IGST )_avg,Settlement of Integrated goods and services tax ( IGST )_max,Settlement of Integrated goods and services tax ( IGST )_min,Settlement of Integrated goods and services tax ( IGST )_sum,Settlement of Integrated goods and services tax ( IGST )_count,Settlement of Integrated goods and services tax ( IGST )_stddev,Settlement of Integrated goods and services tax ( IGST )_LandAreaWeight,Settlement of Integrated goods and services tax ( IGST )_TotalPopulationWeight,Settlement of Integrated goods and services tax ( IGST )_NumberOfHouseholdsWeight,Settlement of Integrated goods and services tax ( IGST )_TotalPopulationMaleWeight,Settlement of Integrated goods and services tax ( IGST )_TotalPopulationFemaleWeight
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2017","August, 2017",81.5918260846,81.5918260846,81.5918260846,81.5918260846,1,,81.592,81.592,81.592,81.592,81.592
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2017","September, 2017",139.4445443247,139.4445443247,139.4445443247,139.4445443247,1,,139.445,139.445,139.445,139.445,139.445
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2017","October, 2017",191.5394900521,191.5394900521,191.5394900521,191.5394900521,1,,191.539,191.539,191.539,191.539,191.539
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2017","November, 2017",204.6872825997,204.6872825997,204.6872825997,204.6872825997,1,,204.687,204.687,204.687,204.687,204.687
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2017","December, 2017",182.6248719643,182.6248719643,182.6248719643,182.6248719643,1,,182.625,182.625,182.625,182.625,182.625
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","January, 2018",219.6190167414,219.6190167414,219.6190167414,219.6190167414,1,,219.619,219.619,219.619,219.619,219.619
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","February, 2018",176.4471233137,176.4471233137,176.4471233137,176.4471233137,1,,176.447,176.447,176.447,176.447,176.447
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","March, 2018",174.9100045134,174.9100045134,174.9100045134,174.9100045134,1,,174.91,174.91,174.91,174.91,174.91
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","April, 2018",204.9571299441,204.9571299441,204.9571299441,204.9571299441,1,,204.957,204.957,204.957,204.957,204.957
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","May, 2018",192.5733204992,192.5733204992,192.5733204992,192.5733204992,1,,192.573,192.573,192.573,192.573,192.573
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","June, 2018",213.4166295067,213.4166295067,213.4166295067,213.4166295067,1,,213.417,213.417,213.417,213.417,213.417
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","July, 2018",213.0247978182,213.0247978182,213.0247978182,213.0247978182,1,,213.025,213.025,213.025,213.025,213.025
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","August, 2018",220.8434880253,220.8434880253,220.8434880253,220.8434880253,1,,220.843,220.843,220.843,220.843,220.843
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","September, 2018",216.1103333975,216.1103333975,216.1103333975,216.1103333975,1,,216.11,216.11,216.11,216.11,216.11
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","October, 2018",221.094746396,221.094746396,221.094746396,221.094746396,1,,221.095,221.095,221.095,221.095,221.095
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","November, 2018",259.7697819486,259.7697819486,259.7697819486,259.7697819486,1,,259.77,259.77,259.77,259.77,259.77
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018","December, 2018",228.0501976068,228.0501976068,228.0501976068,228.0501976068,1,,228.05,228.05,228.05,228.05,228.05
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","January, 2019",221.7919699574,221.7919699574,221.7919699574,221.7919699574,1,,221.792,221.792,221.792,221.792,221.792
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","February, 2019",163.7084047372,163.7084047372,163.7084047372,163.7084047372,1,,163.708,163.708,163.708,163.708,163.708
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","March, 2019",263.2329414993,263.2329414993,263.2329414993,263.2329414993,1,,263.233,263.233,263.233,263.233,263.233
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","April, 2019",246.9701615879,246.9701615879,246.9701615879,246.9701615879,1,,246.97,246.97,246.97,246.97,246.97
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","May, 2019",240.0031548572,240.0031548572,240.0031548572,240.0031548572,1,,240.003,240.003,240.003,240.003,240.003
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","June, 2019",265.7845636221,265.7845636221,265.7845636221,265.7845636221,1,,265.785,265.785,265.785,265.785,265.785
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","July, 2019",278.9230624003,278.9230624003,278.9230624003,278.9230624003,1,,278.923,278.923,278.923,278.923,278.923
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","August, 2019",165.7316093525,165.7316093525,165.7316093525,165.7316093525,1,,165.732,165.732,165.732,165.732,165.732
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","September, 2019",121.5009776129,121.5009776129,121.5009776129,121.5009776129,1,,121.501,121.501,121.501,121.501,121.501
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","October, 2019",125.0117842796,125.0117842796,125.0117842796,125.0117842796,1,,125.012,125.012,125.012,125.012,125.012
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","November, 2019",194.4847406641,194.4847406641,194.4847406641,194.4847406641,1,,194.485,194.485,194.485,194.485,194.485
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019","December, 2019",337.4545549577,337.4545549577,337.4545549577,337.4545549577,1,,337.455,337.455,337.455,337.455,337.455
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",267.0292565317,267.0292565317,267.0292565317,267.0292565317,1,,267.029,267.029,267.029,267.029,267.029
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","February, 2020",249.9119964977,249.9119964977,249.9119964977,249.9119964977,1,,249.912,249.912,249.912,249.912,249.912
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","March, 2020",207.1536801344,207.1536801344,207.1536801344,207.1536801344,1,,207.154,207.154,207.154,207.154,207.154
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","April, 2020",32.69,32.69,32.69,32.69,1,,32.69,32.69,32.69,32.69,32.69
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","May, 2020",101.31,101.31,101.31,101.31,1,,101.31,101.31,101.31,101.31,101.31
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","June, 2020",144.0,144.0,144.0,144.0,1,,144.0,144.0,144.0,144.0,144.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","July, 2020",277.354471841,277.354471841,277.354471841,277.354471841,1,,277.354,277.354,277.354,277.354,277.354
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","August, 2020",238.844346009,238.844346009,238.844346009,238.844346009,1,,238.844,238.844,238.844,238.844,238.844
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","September, 2020",293.845225273,293.845225273,293.845225273,293.845225273,1,,293.845,293.845,293.845,293.845,293.845
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","October, 2020",401.258447338,401.258447338,401.258447338,401.258447338,1,,401.258,401.258,401.258,401.258,401.258
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","November, 2020",299.749336191,299.749336191,299.749336191,299.749336191,1,,299.749,299.749,299.749,299.749,299.749
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020","December, 2020",311.411794745,311.411794745,311.411794745,311.411794745,1,,311.412,311.412,311.412,311.412,311.412
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","January, 2021",290.923992,290.923992,290.923992,290.923992,1,,290.924,290.924,290.924,290.924,290.924
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","February, 2021",243.669495542,243.669495542,243.669495542,243.669495542,1,,243.669,243.669,243.669,243.669,243.669
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","March, 2021",251.48657466,251.48657466,251.48657466,251.48657466,1,,251.487,251.487,251.487,251.487,251.487
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","April, 2021",364.379359451,364.379359451,364.379359451,364.379359451,1,,364.379,364.379,364.379,364.379,364.379
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","May, 2021",181.405530964,181.405530964,181.405530964,181.405530964,1,,181.406,181.406,181.406,181.406,181.406
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","June, 2021",246.869929699,246.869929699,246.869929699,246.869929699,1,,246.87,246.87,246.87,246.87,246.87
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","July, 2021",431.257782373,431.257782373,431.257782373,431.257782373,1,,431.258,431.258,431.258,431.258,431.258
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","August, 2021",378.824326552,378.824326552,378.824326552,378.824326552,1,,378.824,378.824,378.824,378.824,378.824
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","September, 2021",350.445064012,350.445064012,350.445064012,350.445064012,1,,350.445,350.445,350.445,350.445,350.445
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","October, 2021",337.461065639,337.461065639,337.461065639,337.461065639,1,,337.461,337.461,337.461,337.461,337.461
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","November, 2021",343.882678289,343.882678289,343.882678289,343.882678289,1,,343.883,343.883,343.883,343.883,343.883
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021","December, 2021",305.476158497,305.476158497,305.476158497,305.476158497,1,,305.476,305.476,305.476,305.476,305.476
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022","January, 2022",405.974306203,405.974306203,405.974306203,405.974306203,1,,405.974,405.974,405.974,405.974,405.974
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022","February, 2022",304.340633362,304.340633362,304.340633362,304.340633362,1,,304.341,304.341,304.341,304.341,304.341
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022","March, 2022",332.055667398,332.055667398,332.055667398,332.055667398,1,,332.056,332.056,332.056,332.056,332.056
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022","April, 2022",429.400351476,429.400351476,429.400351476,429.400351476,1,,429.4,429.4,429.4,429.4,429.4
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022","May, 2022",340.747415491,340.747415491,340.747415491,340.747415491,1,,340.747,340.747,340.747,340.747,340.747
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022","June, 2022",360.83231975,360.83231975,360.83231975,360.83231975,1,,360.832,360.832,360.832,360.832,360.832
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017","August, 2017",63.515337668,63.515337668,63.515337668,63.515337668,1,,63.515,63.515,63.515,63.515,63.515
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017","September, 2017",68.5992304,68.5992304,68.5992304,68.5992304,1,,68.599,68.599,68.599,68.599,68.599
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017","October, 2017",75.951647506,75.951647506,75.951647506,75.951647506,1,,75.952,75.952,75.952,75.952,75.952
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017","November, 2017",107.9755191,107.9755191,107.9755191,107.9755191,1,,107.976,107.976,107.976,107.976,107.976
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017","December, 2017",91.6474698,91.6474698,91.6474698,91.6474698,1,,91.647,91.647,91.647,91.647,91.647
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","January, 2018",105.6253327,105.6253327,105.6253327,105.6253327,1,,105.625,105.625,105.625,105.625,105.625
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","February, 2018",89.3946239,89.3946239,89.3946239,89.3946239,1,,89.395,89.395,89.395,89.395,89.395
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","March, 2018",89.8820517,89.8820517,89.8820517,89.8820517,1,,89.882,89.882,89.882,89.882,89.882
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","April, 2018",100.0167996,100.0167996,100.0167996,100.0167996,1,,100.017,100.017,100.017,100.017,100.017
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","May, 2018",85.8309654,85.8309654,85.8309654,85.8309654,1,,85.831,85.831,85.831,85.831,85.831
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","June, 2018",120.3761358,120.3761358,120.3761358,120.3761358,1,,120.376,120.376,120.376,120.376,120.376
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","July, 2018",108.2997529,108.2997529,108.2997529,108.2997529,1,,108.3,108.3,108.3,108.3,108.3
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","August, 2018",103.986185991,103.986185991,103.986185991,103.986185991,1,,103.986,103.986,103.986,103.986,103.986
