,Credit to agriculture,Personal loans,Credit to industry,Credit,Distribution of offices,Deposits,Credit-Deposit ratio,Number of Branches,,state,start,end,bank type,start_date,end_date
0,,,,684.69,,1956.258,35.5,254.314,regional_rural_banks,jammu and kashmir,2011-04-01,2012-03-01,bank_type_bank,2011-04-01,2012-03-01
1,1365.922,4695.02,2836.575,14965.376,1018.232,39320.792,38.1,,scheduled_commercial_banks,jammu and kashmir,2011-04-01,2012-03-01,bank_type_bank,2011-04-01,2012-03-01
2,,,,880.316,,2249.697,38.8,257.248,regional_rural_banks,jammu and kashmir,2012-04-01,2013-03-01,bank_type_bank,2012-04-01,2013-03-01
3,1561.054,5575.336,2934.387,16530.383,1171.799,48906.457,33.8,,scheduled_commercial_banks,jammu and kashmir,2012-04-01,2013-03-01,bank_type_bank,2012-04-01,2013-03-01
4,,,,978.129,,2543.136,39.6,260.182,regional_rural_banks,jammu and kashmir,2013-04-01,2014-03-01,bank_type_bank,2013-04-01,2014-03-01
5,2731.845,7042.53,4010.329,21421.028,1334.168,58100.871,36.9,,scheduled_commercial_banks,jammu and kashmir,2013-04-01,2014-03-01,bank_type_bank,2013-04-01,2014-03-01
6,,,,1271.568,,2836.575,43.6,267.029,regional_rural_banks,jammu and kashmir,2014-04-01,2015-03-01,bank_type_bank,2014-04-01,2015-03-01
7,4097.767,8509.724,5086.272,26116.048,1501.428,65143.401,40.1,,scheduled_commercial_banks,jammu and kashmir,2014-04-01,2015-03-01,bank_type_bank,2014-04-01,2015-03-01
8,,,,1369.381,,3032.2,45.2,268.986,regional_rural_banks,jammu and kashmir,2015-04-01,2016-03-01,bank_type_bank,2015-04-01,2016-03-01
9,5170.992,10368.169,5868.775,30419.816,1598.263,72088.118,42.2,,scheduled_commercial_banks,jammu and kashmir,2015-04-01,2016-03-01,bank_type_bank,2015-04-01,2016-03-01
10,,,,1692.163,,3531.046,47.9,318.87,regional_rural_banks,jammu and kashmir,2016-04-01,2017-03-01,bank_type_bank,2016-04-01,2017-03-01
11,5366.124,13009.118,6162.214,34625.772,1668.688,78543.77,44.2,,scheduled_commercial_banks,jammu and kashmir,2016-04-01,2017-03-01,bank_type_bank,2016-04-01,2017-03-01
12,,,,1672.601,,3941.86,42.4,320.826,regional_rural_banks,jammu and kashmir,2017-04-01,2018-03-01,bank_type_bank,2017-04-01,2018-03-01
13,5463.69,14476.311,6162.214,36380.535,1702.923,91304.443,39.8,,scheduled_commercial_banks,jammu and kashmir,2017-04-01,2018-03-01,bank_type_bank,2017-04-01,2018-03-01
14,,,,1956.258,,4499.394,43.5,352.126,regional_rural_banks,jammu and kashmir,2018-04-01,2019-03-01,bank_type_bank,2018-04-01,2019-03-01
