,state,start_date,end_date,Normal tax payers,Composition tax payers,Input service distributor,Casual tax payers,Tax collected at source,Tax deducted at source,Non resident taxpayers,Online information and database access or retrieval services from a place outside india to a non-taxable online recipient,Unique identification number (uin) holders
0,Jammu and Kashmir,2022-04-01,2023-03-01,110462.0,8499.0,10.0,5.0,151.0,2593.0,0.0,0.0,10.0
1,Himachal Pradesh,2022-04-01,2023-03-01,99587.0,17679.0,33.0,9.0,207.0,1614.0,0.0,0.0,25.0
2,Punjab,2022-04-01,2023-03-01,344609.0,36606.0,83.0,27.0,446.0,3369.0,1.0,0.0,15.0
3,Chandigarh,2022-04-01,2023-03-01,27759.0,1609.0,84.0,9.0,214.0,760.0,0.0,0.0,3.0
4,Uttarakhand,2022-04-01,2023-03-01,157239.0,34265.0,47.0,6.0,352.0,3480.0,0.0,0.0,11.0
5,Haryana,2022-04-01,2023-03-01,482254.0,15470.0,608.0,20.0,941.0,2547.0,4.0,0.0,31.0
6,Delhi,2022-04-01,2023-03-01,758918.0,16325.0,1045.0,83.0,1381.0,2842.0,4.0,0.0,316.0
7,Rajasthan,2022-04-01,2023-03-01,672438.0,134913.0,115.0,8.0,686.0,19619.0,1.0,0.0,86.0
8,Uttar Pradesh,2022-04-01,2023-03-01,1377315.0,338879.0,444.0,26.0,1300.0,23645.0,1.0,0.0,234.0
9,Bihar,2022-04-01,2023-03-01,484279.0,108500.0,107.0,8.0,374.0,7066.0,0.0,0.0,129.0
10,Sikkim,2022-04-01,2023-03-01,9384.0,792.0,2.0,0.0,91.0,354.0,0.0,0.0,4.0
11,Arunachal Pradesh,2022-04-01,2023-03-01,14641.0,2258.0,4.0,1.0,84.0,1360.0,0.0,0.0,5.0
12,Nagaland,2022-04-01,2023-03-01,7740.0,2065.0,4.0,0.0,92.0,312.0,0.0,0.0,7.0
13,Manipur,2022-04-01,2023-03-01,11629.0,1502.0,12.0,0.0,107.0,575.0,0.0,0.0,2.0
14,Mizoram,2022-04-01,2023-03-01,7562.0,167.0,4.0,0.0,73.0,296.0,0.0,0.0,2.0
15,Tripura,2022-04-01,2023-03-01,26898.0,2916.0,13.0,0.0,113.0,1150.0,0.0,0.0,5.0
16,Meghalaya,2022-04-01,2023-03-01,28175.0,2246.0,7.0,4.0,102.0,539.0,0.0,0.0,5.0
17,Assam,2022-04-01,2023-03-01,181474.0,36586.0,59.0,24.0,274.0,3331.0,0.0,0.0,33.0
18,West Bengal,2022-04-01,2023-03-01,637786.0,58056.0,499.0,49.0,746.0,11486.0,1.0,0.0,188.0
19,Jharkhand,2022-04-01,2023-03-01,170659.0,17589.0,36.0,4.0,287.0,3523.0,0.0,0.0,40.0
20,Odisha,2022-04-01,2023-03-01,278441.0,28036.0,59.0,22.0,293.0,4000.0,0.0,0.0,44.0
21,Chhattisgarh,2022-04-01,2023-03-01,133819.0,34105.0,26.0,66.0,258.0,3373.0,0.0,0.0,23.0
22,Madhya Pradesh,2022-04-01,2023-03-01,421752.0,52846.0,123.0,22.0,557.0,15680.0,0.0,0.0,97.0
23,Gujarat,2022-04-01,2023-03-01,1012153.0,96371.0,287.0,45.0,869.0,19118.0,1.0,0.0,67.0
24,Maharashtra,2022-04-01,2023-03-01,1499972.0,122786.0,1807.0,50.0,1414.0,43751.0,9.0,0.0,286.0
25,Andhra Pradesh,2022-04-01,2023-03-01,303295.0,110858.0,53.0,81.0,473.0,3167.0,0.0,0.0,292.0
26,Karnataka,2022-04-01,2023-03-01,857399.0,111240.0,465.0,198.0,1336.0,17543.0,0.0,0.0,84.0
27,Goa,2022-04-01,2023-03-01,38239.0,5161.0,77.0,17.0,208.0,734.0,0.0,0.0,13.0
28,Lakshadweep,2022-04-01,2023-03-01,228.0,21.0,0.0,0.0,58.0,29.0,0.0,0.0,0.0
29,Kerala,2022-04-01,2023-03-01,341278.0,51354.0,91.0,21.0,761.0,7361.0,2.0,0.0,35.0
30,Tamil Nadu,2022-04-01,2023-03-01,1007706.0,71667.0,506.0,70.0,1134.0,12877.0,1.0,0.0,121.0
31,Puducherry,2022-04-01,2023-03-01,20581.0,2467.0,8.0,1.0,159.0,363.0,0.0,0.0,3.0
32,Andaman and Nicobar Islands,2022-04-01,2023-03-01,4243.0,810.0,4.0,0.0,72.0,322.0,0.0,0.0,0.0
33,Telangana,2022-04-01,2023-03-01,423698.0,61061.0,349.0,162.0,667.0,21683.0,3.0,0.0,57.0
34,Ladakh,2022-04-01,2023-03-01,6023.0,576.0,1.0,0.0,34.0,350.0,0.0,0.0,0.0
35,Dadra and Nagar Haveli and Daman and Diu,2022-04-01,2023-03-01,14743.0,625.0,4.0,2.0,147.0,259.0,0.0,0.0,1.0
