,state,date,Gst ( goods and service tax ) payers registered,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) return type
0,chandigarh,2021-02-01,12708.0,12710.0,GSTR-3
1,sikkim,2019-12-01,6056.0,7450.0,GSTR-1
2,sikkim,2019-12-01,6486.0,7450.0,GSTR-3
3,sikkim,2020-01-01,2761.0,3908.0,GSTR-1
4,jammu and kashmir,2017-07-01,45971.0,52455.0,GSTR-1
5,jammu and kashmir,2017-07-01,49433.0,52455.0,GSTR-3
6,jammu and kashmir,2017-08-01,19537.0,23864.0,GSTR-1
7,jammu and kashmir,2017-08-01,55649.0,58371.0,GSTR-3
8,jammu and kashmir,2017-09-01,55683.0,62528.0,GSTR-1
9,jammu and kashmir,2017-09-01,59582.0,62528.0,GSTR-3
10,jammu and kashmir,2017-10-01,21128.0,25413.0,GSTR-1
11,sikkim,2020-01-01,6522.0,7448.0,GSTR-3
12,jammu and kashmir,2017-10-01,59060.0,62319.0,GSTR-3
13,jammu and kashmir,2017-11-01,21712.0,26079.0,GSTR-1
14,jammu and kashmir,2017-11-01,60679.0,64586.0,GSTR-3
15,jammu and kashmir,2017-12-01,58760.0,66074.0,GSTR-1
16,jammu and kashmir,2017-12-01,61808.0,66074.0,GSTR-3
17,jammu and kashmir,2018-01-01,22215.0,27196.0,GSTR-1
18,sikkim,2020-02-01,2777.0,3729.0,GSTR-1
19,jammu and kashmir,2018-01-01,63323.0,68002.0,GSTR-3
20,jammu and kashmir,2018-02-01,22495.0,27817.0,GSTR-1
21,jammu and kashmir,2018-02-01,64769.0,69822.0,GSTR-3
22,jammu and kashmir,2018-03-01,62245.0,71741.0,GSTR-1
23,jammu and kashmir,2018-03-01,66358.0,71741.0,GSTR-3
24,jammu and kashmir,2018-04-01,24137.0,37744.0,GSTR-1
25,sikkim,2020-02-01,6563.0,7399.0,GSTR-3
26,jammu and kashmir,2018-04-01,67819.0,72923.0,GSTR-3
27,jammu and kashmir,2018-05-01,24513.0,39310.0,GSTR-1
28,jammu and kashmir,2018-05-01,69462.0,75470.0,GSTR-3
29,jammu and kashmir,2018-06-01,66091.0,77492.0,GSTR-1
30,jammu and kashmir,2018-06-01,70543.0,77492.0,GSTR-3
31,jammu and kashmir,2018-07-01,25082.0,40446.0,GSTR-1
32,sikkim,2020-03-01,6154.0,7508.0,GSTR-1
33,jammu and kashmir,2018-07-01,71772.0,78995.0,GSTR-3
34,jammu and kashmir,2018-08-01,25272.0,39808.0,GSTR-1
