,State,Payer_Registered_For_GST,Payer_Eligible_For_GST,Start_Date,End_Date
0,Andaman And Nicobar Islands,2596.5,3388.8333333333335,2017-04-01,2018-03-01
1,Andaman And Nicobar Islands,2871.9583333333335,4107.0,2018-04-01,2019-03-01
2,Andaman And Nicobar Islands,2914.5416666666665,3570.0416666666665,2019-04-01,2020-03-01
3,Andaman And Nicobar Islands,3049.166666666667,3627.7083333333335,2020-04-01,2021-03-01
4,Andaman And Nicobar Islands,3207.2083333333335,3562.75,2021-04-01,2022-03-01
5,Andaman And Nicobar Islands,2669.25,3362.5,2022-04-01,2023-03-01
6,Andhra Pradesh,175600.72222222222,191839.33333333334,2017-04-01,2018-03-01
7,Andhra Pradesh,198456.75,234135.54166666666,2018-04-01,2019-03-01
8,Andhra Pradesh,218305.75,256139.29166666666,2019-04-01,2020-03-01
9,Andhra Pradesh,223499.5833333333,263551.625,2020-04-01,2021-03-01
10,Andhra Pradesh,238673.2916666667,263093.4166666667,2021-04-01,2022-03-01
11,Andhra Pradesh,219951.5,250078.5,2022-04-01,2023-03-01
12,Arunachal Pradesh,4507.666666666666,5517.388888888889,2017-04-01,2018-03-01
13,Arunachal Pradesh,6017.666666666667,8512.208333333334,2018-04-01,2019-03-01
14,Arunachal Pradesh,6885.375,10501.541666666666,2019-04-01,2020-03-01
15,Arunachal Pradesh,7471.208333333333,11241.833333333334,2020-04-01,2021-03-01
16,Arunachal Pradesh,8182.5,11312.0,2021-04-01,2022-03-01
17,Arunachal Pradesh,6586.75,10714.0,2022-04-01,2023-03-01
18,Assam,78700.05555555556,97150.0,2017-04-01,2018-03-01
19,Assam,89944.54166666666,125414.25,2018-04-01,2019-03-01
20,Assam,98987.33333333334,136317.16666666666,2019-04-01,2020-03-01
21,Assam,104869.58333333333,134533.04166666666,2020-04-01,2021-03-01
22,Assam,115622.125,132240.08333333334,2021-04-01,2022-03-01
23,Assam,94001.5,119859.0,2022-04-01,2023-03-01
24,Bihar,156367.05555555556,180879.0,2017-04-01,2018-03-01
25,Bihar,181745.25,226489.25,2018-04-01,2019-03-01
26,Bihar,208376.5833333333,263029.75,2019-04-01,2020-03-01
27,Bihar,232000.66666666666,295482.7083333333,2020-04-01,2021-03-01
28,Bihar,267086.7083333333,314231.75,2021-04-01,2022-03-01
29,Bihar,210370.5,278717.0,2022-04-01,2023-03-01
30,Chandigarh,18920.61111111111,19676.38888888889,2017-04-01,2018-03-01
31,Chandigarh,19793.333333333332,21833.416666666668,2018-04-01,2019-03-01
32,Chandigarh,20257.083333333336,21798.75,2019-04-01,2020-03-01
33,Chandigarh,19624.666666666668,21949.958333333332,2020-04-01,2021-03-01
34,Chandigarh,18940.208333333332,19389.0,2021-04-01,2022-03-01
35,Chandigarh,14968.0,16148.0,2022-04-01,2023-03-01
36,Chhattisgarh,67680.77777777778,75962.33333333333,2017-04-01,2018-03-01
37,Chhattisgarh,71819.5,82741.0,2018-04-01,2019-03-01
38,Chhattisgarh,78013.58333333333,88164.875,2019-04-01,2020-03-01
39,Chhattisgarh,81530.58333333333,95230.875,2020-04-01,2021-03-01
40,Chhattisgarh,82617.375,90527.75,2021-04-01,2022-03-01
41,Chhattisgarh,60530.75,74851.5,2022-04-01,2023-03-01
42,Delhi,412753.8888888889,432985.1666666667,2017-04-01,2018-03-01
43,Delhi,447959.75,541621.0833333334,2018-04-01,2019-03-01
44,Delhi,482941.75,604190.9583333334,2019-04-01,2020-03-01
45,Delhi,489389.9166666666,617594.2916666666,2020-04-01,2021-03-01
46,Delhi,477557.4583333334,511129.0,2021-04-01,2022-03-01
47,Delhi,371504.25,413150.0,2022-04-01,2023-03-01
48,Goa,20129.333333333336,21603.88888888889,2017-04-01,2018-03-01
49,Goa,21916.583333333332,26108.375,2018-04-01,2019-03-01
50,Goa,23563.791666666668,29429.666666666668,2019-04-01,2020-03-01
51,Goa,23938.458333333336,31344.166666666668,2020-04-01,2021-03-01
52,Goa,23403.833333333332,28336.75,2021-04-01,2022-03-01
53,Goa,18104.75,25170.0,2022-04-01,2023-03-01
54,Gujarat,536203.6111111111,552366.7222222222,2017-04-01,2018-03-01
55,Gujarat,588491.75,654451.25,2018-04-01,2019-03-01
56,Gujarat,636117.8333333334,699686.7083333334,2019-04-01,2020-03-01
57,Gujarat,659005.25,748604.625,2020-04-01,2021-03-01
58,Gujarat,681356.8333333333,699426.3333333334,2021-04-01,2022-03-01
59,Gujarat,560542.5,590479.0,2022-04-01,2023-03-01
60,Haryana,241904.83333333334,254856.61111111112,2017-04-01,2018-03-01
61,Haryana,274799.0,320490.375,2018-04-01,2019-03-01
62,Haryana,295474.0833333333,338790.4166666667,2019-04-01,2020-03-01
63,Haryana,305249.125,362553.8333333333,2020-04-01,2021-03-01
64,Haryana,304963.9166666667,326802.1666666667,2021-04-01,2022-03-01
65,Haryana,243538.25,273090.5,2022-04-01,2023-03-01
66,Himachal Pradesh,46170.77777777778,50091.72222222222,2017-04-01,2018-03-01
67,Himachal Pradesh,54274.33333333333,63068.333333333336,2018-04-01,2019-03-01
68,Himachal Pradesh,58980.125,68862.79166666667,2019-04-01,2020-03-01
69,Himachal Pradesh,60015.333333333336,70391.20833333333,2020-04-01,2021-03-01
70,Himachal Pradesh,57997.16666666667,60995.666666666664,2021-04-01,2022-03-01
71,Himachal Pradesh,40030.5,44761.5,2022-04-01,2023-03-01
72,Jammu And Kashmir,48355.944444444445,53281.38888888889,2017-04-01,2018-03-01
73,Jammu And Kashmir,56794.75,67706.41666666667,2018-04-01,2019-03-01
74,Jammu And Kashmir,60901.45833333333,74969.66666666667,2019-04-01,2020-03-01
75,Jammu And Kashmir,60497.875,71301.79166666667,2020-04-01,2021-03-01
76,Jammu And Kashmir,68723.83333333333,71498.91666666667,2021-04-01,2022-03-01
77,Jammu And Kashmir,59261.5,67349.5,2022-04-01,2023-03-01
