,state,start_date,end_date,Settlement of Integrated goods and services tax ( IGST )
0,andaman and nicobar islands,2017-01-01,2018-12-01,7.008179611
1,andaman and nicobar islands,2018-01-01,2019-12-01,12.98073119
2,andaman and nicobar islands,2019-01-01,2020-12-01,17.9737618522
3,andaman and nicobar islands,2020-01-01,2021-12-01,16.757644369083334
4,andaman and nicobar islands,2021-01-01,2022-12-01,18.2922412685
5,andaman and nicobar islands,2022-01-01,2023-12-01,23.0669845545
6,andhra pradesh,2017-01-01,2018-12-01,575.9375054306
7,andhra pradesh,2018-01-01,2019-12-01,779.0648202741667
8,andhra pradesh,2019-01-01,2020-12-01,864.7265201254082
9,andhra pradesh,2020-01-01,2021-12-01,786.6205026916667
10,andhra pradesh,2021-01-01,2022-12-01,1024.40512068175
11,andhra pradesh,2022-01-01,2023-12-01,975.5531540995001
12,andhra pradesh,2017-01-01,2018-12-01,14.7084904456
13,andhra pradesh,2018-01-01,2019-12-01,28.12073821683333
14,andhra pradesh,2019-01-01,2020-12-01,37.888232909291666
15,andhra pradesh,2020-01-01,2021-12-01,40.098386625500005
16,andhra pradesh,2021-01-01,2022-12-01,60.63111228291667
17,andhra pradesh,2022-01-01,2023-12-01,90.19447274650001
18,assam,2017-01-01,2018-12-01,213.0278283708
19,assam,2018-01-01,2019-12-01,316.50542294433336
20,assam,2019-01-01,2020-12-01,355.4312641259083
21,assam,2020-01-01,2021-12-01,318.01260132391667
22,assam,2021-01-01,2022-12-01,441.41838007575
23,assam,2022-01-01,2023-12-01,533.3260293868333
24,bihar,2017-01-01,2018-12-01,441.38470412040004
25,bihar,2018-01-01,2019-12-01,654.608098446
26,bihar,2019-01-01,2020-12-01,763.575058050425
27,bihar,2020-01-01,2021-12-01,770.5468791642501
28,bihar,2021-01-01,2022-12-01,986.2503745323334
29,bihar,2022-01-01,2023-12-01,1179.9164983358332
30,chandigarh,2017-01-01,2018-12-01,54.7762412128
31,chandigarh,2018-01-01,2019-12-01,65.251105434
32,chandigarh,2019-01-01,2020-12-01,67.73824841774167
33,chandigarh,2020-01-01,2021-12-01,57.332201450666666
34,chandigarh,2021-01-01,2022-12-01,80.78001038908333
35,chandigarh,2022-01-01,2023-12-01,104.88125288583335
36,chhattisgarh,2017-01-01,2018-12-01,146.1418622294
37,chhattisgarh,2018-01-01,2019-12-01,173.878699836
38,chhattisgarh,2019-01-01,2020-12-01,169.27156757338335
39,chhattisgarh,2020-01-01,2021-12-01,156.69092524266668
40,chhattisgarh,2021-01-01,2022-12-01,166.59547796883334
41,chhattisgarh,2022-01-01,2023-12-01,182.59508535416668
42,delhi,2017-01-01,2018-12-01,657.6809168404
43,delhi,2018-01-01,2019-12-01,505.968628798
44,delhi,2019-01-01,2020-12-01,528.52398857345
45,delhi,2020-01-01,2021-12-01,538.75852724325
46,delhi,2021-01-01,2022-12-01,779.9912035324165
