,state,date,Settlement of Integrated goods and services tax ( IGST )
0,jammu and kashmir,2017-08-01,81.5918260846
1,jammu and kashmir,2017-09-01,139.4445443247
2,jammu and kashmir,2017-10-01,191.5394900521
3,jammu and kashmir,2017-11-01,204.6872825997
4,jammu and kashmir,2017-12-01,182.6248719643
5,jammu and kashmir,2018-01-01,219.6190167414
6,jammu and kashmir,2018-02-01,176.4471233137
7,jammu and kashmir,2018-03-01,174.9100045134
8,jammu and kashmir,2018-04-01,204.9571299441
9,jammu and kashmir,2018-05-01,192.5733204992
10,jammu and kashmir,2018-06-01,213.4166295067
11,jammu and kashmir,2018-07-01,213.0247978182
12,jammu and kashmir,2018-08-01,220.8434880253
13,jammu and kashmir,2018-09-01,216.1103333975
14,jammu and kashmir,2018-10-01,221.094746396
15,jammu and kashmir,2018-11-01,259.7697819486
16,jammu and kashmir,2018-12-01,228.0501976068
17,jammu and kashmir,2019-01-01,221.7919699574
18,jammu and kashmir,2019-02-01,163.7084047372
19,jammu and kashmir,2019-03-01,263.2329414993
20,jammu and kashmir,2019-04-01,246.9701615879
21,jammu and kashmir,2019-05-01,240.0031548572
22,jammu and kashmir,2019-06-01,265.7845636221
23,jammu and kashmir,2019-07-01,278.9230624003
24,jammu and kashmir,2019-08-01,165.7316093525
25,jammu and kashmir,2019-09-01,121.5009776129
26,jammu and kashmir,2019-10-01,125.0117842796
27,jammu and kashmir,2019-11-01,194.4847406641
28,jammu and kashmir,2019-12-01,337.4545549577
29,jammu and kashmir,2020-01-01,267.0292565317
30,jammu and kashmir,2020-02-01,249.9119964977
31,jammu and kashmir,2020-03-01,207.1536801344
32,jammu and kashmir,2020-04-01,32.69
33,jammu and kashmir,2020-05-01,101.31
34,jammu and kashmir,2020-06-01,144.0
35,jammu and kashmir,2020-07-01,277.354471841
36,jammu and kashmir,2020-08-01,238.844346009
37,jammu and kashmir,2020-09-01,293.845225273
38,jammu and kashmir,2020-10-01,401.258447338
39,jammu and kashmir,2020-11-01,299.749336191
40,jammu and kashmir,2020-12-01,311.411794745
41,jammu and kashmir,2021-01-01,290.923992
42,jammu and kashmir,2021-02-01,243.669495542
43,jammu and kashmir,2021-03-01,251.48657466
44,jammu and kashmir,2021-04-01,364.379359451
45,jammu and kashmir,2021-05-01,181.405530964
46,jammu and kashmir,2021-06-01,246.869929699
